pk_l2;pk_l3;un_pk_l3;un_code_l3;classificationDesc;classificationType;typeCode;desc_l3;updateMark;updateMark_TZ
G-LVL02-IDX-0011;G-LVL03-IDX-0069;HS-C-020629;020629;HS;Goods;C;"Offal, edible; of bovine animals, (other than tongues and livers), frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0011;G-LVL03-IDX-0070;HS-C-020630;020630;HS;Goods;C;"Offal, edible; of swine, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0011;G-LVL03-IDX-0071;HS-C-020641;020641;HS;Goods;C;"Offal, edible; of swine, livers, frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0011;G-LVL03-IDX-0072;HS-C-020649;020649;HS;Goods;C;"Offal, edible; of swine, (other than livers), frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0011;G-LVL03-IDX-0073;HS-C-020680;020680;HS;Goods;C;"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0011;G-LVL03-IDX-0074;HS-C-020690;020690;HS;Goods;C;"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0075;HS-C-020710;020710;HS;Goods;C;Poultry, domestic, whole, fresh or chilled;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0076;HS-C-020711;020711;HS;Goods;C;"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0077;HS-C-020712;020712;HS;Goods;C;"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0078;HS-C-020713;020713;HS;Goods;C;"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0079;HS-C-020714;020714;HS;Goods;C;"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0080;HS-C-020721;020721;HS;Goods;C;Fowls, domestic, whole, frozen;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0081;HS-C-020722;020722;HS;Goods;C;Turkeys, domestic, whole, frozen;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0082;HS-C-020723;020723;HS;Goods;C;Ducks, geese and guinea fowls, domestic, whole, froze;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0083;HS-C-020724;020724;HS;Goods;C;"Meat and edible offal; of turkeys, not cut in pieces, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0084;HS-C-020725;020725;HS;Goods;C;"Meat and edible offal; of turkeys, not cut in pieces, frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0085;HS-C-020726;020726;HS;Goods;C;"Meat and edible offal; of turkeys, cuts and offal, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0086;HS-C-020727;020727;HS;Goods;C;"Meat and edible offal; of turkeys, cuts and offal, frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0087;HS-C-020731;020731;HS;Goods;C;Fatty livers (geese,ducks) domestic fresh or chilled;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0088;HS-C-020732;020732;HS;Goods;C;Meat of ducks/geese/guinea fowls, not cut in pieces, fresh/chilled;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0089;HS-C-020733;020733;HS;Goods;C;Meat of ducks/geese/guinea fowls, not cut in pieces, frozen;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0090;HS-C-020734;020734;HS;Goods;C;Fatty livers of ducks/geese/guinea fowls, fresh/chilled;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0091;HS-C-020735;020735;HS;Goods;C;Meat & edible meat offal of ducks/geese/guinea fowls (excl. of 0207.32-0207.34), fresh/chilled;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0092;HS-C-020736;020736;HS;Goods;C;Meat & edible meat offal of ducks/geese/guinea fowls (excl. of 0207.32-0207.34), frozen;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0093;HS-C-020739;020739;HS;Goods;C;Poultry cuts & offal, except livers, fresh or chilled;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0094;HS-C-020741;020741;HS;Goods;C;"Meat and edible offal; of ducks, not cut in pieces, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0095;HS-C-020742;020742;HS;Goods;C;"Meat and edible offal; of ducks, not cut in pieces, frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0096;HS-C-020743;020743;HS;Goods;C;"Meat and edible offal; of ducks, fatty livers (foie gras), fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0097;HS-C-020744;020744;HS;Goods;C;"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0098;HS-C-020745;020745;HS;Goods;C;"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0099;HS-C-020750;020750;HS;Goods;C;Poultry livers, domestic, frozen;2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0100;HS-C-020751;020751;HS;Goods;C;"Meat and edible offal; of geese, not cut in pieces, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0101;HS-C-020752;020752;HS;Goods;C;"Meat and edible offal; of geese, not cut in pieces, frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0102;HS-C-020753;020753;HS;Goods;C;"Meat and edible offal; of geese, fatty livers (foie gras), fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0103;HS-C-020754;020754;HS;Goods;C;"Meat and edible offal; of geese, cuts and offal, excluding fatty livers, fresh or chilled";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0104;HS-C-020755;020755;HS;Goods;C;"Meat and edible offal; of geese, cuts and offal, excluding fatty livers, frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0012;G-LVL03-IDX-0105;HS-C-020760;020760;HS;Goods;C;"Meat and edible offal; of guinea fowls, fresh, chilled or frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0013;G-LVL03-IDX-0106;HS-C-020810;020810;HS;Goods;C;"Meat and edible meat offal; of rabbits or hares, fresh, chilled or frozen";2023-06-27 13:59:10;Eastern Standard Time
G-LVL02-IDX-0013;G-LVL03-IDX-0107;HS-C-020820;020820;HS;Goods;C;Frog legs, fresh, chilled or frozen;2023-06-27 13:59:10;Eastern Standard Time
