pk;pk_l1;pk_l2;pk_l3;un_pk_l0;un_pk_l1;un_pk_l2;un_pk_l3;un_code_l1;un_code_l2;un_code_l3;classificationDesc;classificationType;typeCode;desc_l1;desc_l2;desc_l3
S-LVL01-IDX-0019-S-LVL02-IDX-0027;S-LVL01-IDX-0019;S-LVL02-IDX-0027;;EBOPS 2010-S-3;EBOPS 2010-S-3.7;EBOPS 2010-S-3.7.1;;3.7;3.7.1;;EBOPS 2010;Services;S;Road transport;Passenger;
S-LVL01-IDX-0019-S-LVL02-IDX-0028;S-LVL01-IDX-0019;S-LVL02-IDX-0028;;EBOPS 2010-S-3;EBOPS 2010-S-3.7;EBOPS 2010-S-3.7.2;;3.7;3.7.2;;EBOPS 2010;Services;S;Road transport;Freight;
S-LVL01-IDX-0019-S-LVL02-IDX-0029;S-LVL01-IDX-0019;S-LVL02-IDX-0029;;EBOPS 2010-S-3;EBOPS 2010-S-3.7;EBOPS 2010-S-3.7.3;;3.7;3.7.3;;EBOPS 2010;Services;S;Road transport;Other;
S-LVL01-IDX-0020-S-LVL02-IDX-0030;S-LVL01-IDX-0020;S-LVL02-IDX-0030;;EBOPS 2010-S-3;EBOPS 2010-S-3.8;EBOPS 2010-S-3.8.1;;3.8;3.8.1;;EBOPS 2010;Services;S;Inland waterway transport;Passenger;
S-LVL01-IDX-0020-S-LVL02-IDX-0031;S-LVL01-IDX-0020;S-LVL02-IDX-0031;;EBOPS 2010-S-3;EBOPS 2010-S-3.8;EBOPS 2010-S-3.8.2;;3.8;3.8.2;;EBOPS 2010;Services;S;Inland waterway transport;Freight;
S-LVL01-IDX-0020-S-LVL02-IDX-0032;S-LVL01-IDX-0020;S-LVL02-IDX-0032;;EBOPS 2010-S-3;EBOPS 2010-S-3.8;EBOPS 2010-S-3.8.3;;3.8;3.8.3;;EBOPS 2010;Services;S;Inland waterway transport;Other;
S-LVL01-IDX-0021;S-LVL01-IDX-0021;;;EBOPS 2010-S-3;EBOPS 2010-S-3.9;;;3.9;;;EBOPS 2010;Services;S;Pipeline transport;;
S-LVL01-IDX-0022-S-LVL02-IDX-0033;S-LVL01-IDX-0022;S-LVL02-IDX-0033;;EBOPS 2010-S-3;EBOPS 2010-S-3a.1;EBOPS 2010-S-3a.1.1;;3a.1;3a.1.1;;EBOPS 2010;Services;S;Passenger;  Of which: Payable by border, seasonal, and other short-term workers;
S-LVL01-IDX-0023;S-LVL01-IDX-0023;;;EBOPS 2010-S-3;EBOPS 2010-S-3a.2;;;3a.2;;;EBOPS 2010;Services;S; Freight;;
S-LVL01-IDX-0024-S-LVL02-IDX-0034;S-LVL01-IDX-0024;S-LVL02-IDX-0034;;EBOPS 2010-S-3;EBOPS 2010-S-3a.3;EBOPS 2010-S-3a.3.1;;3a.3;3a.3.1;;EBOPS 2010;Services;S; Other; Postal and courier services;
